School,Home Department,UG SCH FT (A),UG SCH PT (B),GR SCH FT (C),GR SCH PT (D),UG SCH Total (E=A+B),GR SCH Total (F=C+D),All SCH Total (G=E+F),UG FTE FT (H=A/15),UG FTE PT (I=B/15),GR FTE FT (J=C/12),GR FTE PT (K=D/12),UG FTE Total (L=E/15),GR FTE Total (M=F/12),All FTE Total (N=L+M),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
