Group_Combined,Group,Subgroup,Year,Metric,Value
Men and Women — Associate Professor,Men and Women,Associate Professor,2013,Average Salary (USD),80432
Men and Women — Associate Professor,Men and Women,Associate Professor,2014,Average Salary (USD),83945
Men and Women — Associate Professor,Men and Women,Associate Professor,2015,Average Salary (USD),86579
Men and Women — Associate Professor,Men and Women,Associate Professor,2016,Average Salary (USD),87645
Men and Women — Associate Professor,Men and Women,Associate Professor,2017,Average Salary (USD),85872
Men and Women — Associate Professor,Men and Women,Associate Professor,2018,Average Salary (USD),84651
Men and Women — Associate Professor,Men and Women,Associate Professor,2019,Average Salary (USD),88162
Men and Women — Associate Professor,Men and Women,Associate Professor,2020,Average Salary (USD),91317
Men and Women — Associate Professor,Men and Women,Associate Professor,2021,Average Salary (USD),90403
Men and Women — Associate Professor,Men and Women,Associate Professor,2022,Average Salary (USD),98531
Men and Women — Associate Professor,Men and Women,Associate Professor,2023,Average Salary (USD),101403
Men and Women — Associate Professor,Men and Women,Associate Professor,2024,Average Salary (USD),105206
Men and Women — Instructor,Men and Women,Instructor,2013,Average Salary (USD),58165
Men and Women — Instructor,Men and Women,Instructor,2014,Average Salary (USD),60645
Men and Women — Instructor,Men and Women,Instructor,2015,Average Salary (USD),60974
Men and Women — Instructor,Men and Women,Instructor,2016,Average Salary (USD),61613
Men and Women — Instructor,Men and Women,Instructor,2017,Average Salary (USD),59423
Men and Women — Instructor,Men and Women,Instructor,2018,Average Salary (USD),58066
Men and Women — Instructor,Men and Women,Instructor,2019,Average Salary (USD),60870
Men and Women — Instructor,Men and Women,Instructor,2020,Average Salary (USD),63541
Men and Women — Instructor,Men and Women,Instructor,2021,Average Salary (USD),62000
Men and Women — Instructor,Men and Women,Instructor,2022,Average Salary (USD),69296
Men and Women — Instructor,Men and Women,Instructor,2023,Average Salary (USD),65015
Men and Women — Instructor,Men and Women,Instructor,2024,Average Salary (USD),67085
Men and Women — Professor,Men and Women,Professor,2013,Average Salary (USD),99877
Men and Women — Professor,Men and Women,Professor,2014,Average Salary (USD),104154
Men and Women — Professor,Men and Women,Professor,2015,Average Salary (USD),108310
Men and Women — Professor,Men and Women,Professor,2016,Average Salary (USD),107227
Men and Women — Professor,Men and Women,Professor,2017,Average Salary (USD),105754
Men and Women — Professor,Men and Women,Professor,2018,Average Salary (USD),105666
Men and Women — Professor,Men and Women,Professor,2019,Average Salary (USD),110351
Men and Women — Professor,Men and Women,Professor,2020,Average Salary (USD),114618
Men and Women — Professor,Men and Women,Professor,2021,Average Salary (USD),114059
Men and Women — Professor,Men and Women,Professor,2022,Average Salary (USD),122651
Men and Women — Professor,Men and Women,Professor,2023,Average Salary (USD),126714
Men and Women — Professor,Men and Women,Professor,2024,Average Salary (USD),130951
Women — All,Women,All,2013,Average Salary (USD),82926
Women — All,Women,All,2014,Average Salary (USD),85678
Women — All,Women,All,2015,Average Salary (USD),88946
Women — All,Women,All,2016,Average Salary (USD),89310
Women — All,Women,All,2017,Average Salary (USD),87308
Women — All,Women,All,2018,Average Salary (USD),87132
Women — All,Women,All,2019,Average Salary (USD),92000
Women — All,Women,All,2020,Average Salary (USD),95882
Women — All,Women,All,2021,Average Salary (USD),94601
Women — All,Women,All,2022,Average Salary (USD),99472
Women — All,Women,All,2023,Average Salary (USD),101124
Women — All,Women,All,2024,Average Salary (USD),104299
Women — Assistant Professor,Women,Assistant Professor,2013,Average Salary (USD),65297
Women — Assistant Professor,Women,Assistant Professor,2014,Average Salary (USD),67355
Women — Assistant Professor,Women,Assistant Professor,2015,Average Salary (USD),70517
Women — Assistant Professor,Women,Assistant Professor,2016,Average Salary (USD),70661
Women — Assistant Professor,Women,Assistant Professor,2017,Average Salary (USD),69804
Women — Assistant Professor,Women,Assistant Professor,2018,Average Salary (USD),70258
Women — Assistant Professor,Women,Assistant Professor,2019,Average Salary (USD),72340
Women — Assistant Professor,Women,Assistant Professor,2020,Average Salary (USD),76173
Women — Assistant Professor,Women,Assistant Professor,2021,Average Salary (USD),74738
Women — Assistant Professor,Women,Assistant Professor,2022,Average Salary (USD),77306
Women — Assistant Professor,Women,Assistant Professor,2023,Average Salary (USD),78702
Women — Assistant Professor,Women,Assistant Professor,2024,Average Salary (USD),81096
Women — Associate Professor,Women,Associate Professor,2013,Average Salary (USD),78981
Women — Associate Professor,Women,Associate Professor,2014,Average Salary (USD),83422
Women — Associate Professor,Women,Associate Professor,2015,Average Salary (USD),86924
Women — Associate Professor,Women,Associate Professor,2016,Average Salary (USD),86900
Women — Associate Professor,Women,Associate Professor,2017,Average Salary (USD),86273
Women — Associate Professor,Women,Associate Professor,2018,Average Salary (USD),84795
Women — Associate Professor,Women,Associate Professor,2019,Average Salary (USD),88536
Women — Associate Professor,Women,Associate Professor,2020,Average Salary (USD),91015
Women — Associate Professor,Women,Associate Professor,2021,Average Salary (USD),90204
Women — Associate Professor,Women,Associate Professor,2022,Average Salary (USD),98425
Women — Associate Professor,Women,Associate Professor,2023,Average Salary (USD),102188
Women — Associate Professor,Women,Associate Professor,2024,Average Salary (USD),105247
Women — Instructor,Women,Instructor,2013,Average Salary (USD),58652
Women — Instructor,Women,Instructor,2014,Average Salary (USD),61180
Women — Instructor,Women,Instructor,2015,Average Salary (USD),60441
Women — Instructor,Women,Instructor,2016,Average Salary (USD),
Women — Instructor,Women,Instructor,2017,Average Salary (USD),58239
Women — Instructor,Women,Instructor,2018,Average Salary (USD),58066
Women — Instructor,Women,Instructor,2019,Average Salary (USD),59806
Women — Instructor,Women,Instructor,2020,Average Salary (USD),62000
Women — Instructor,Women,Instructor,2021,Average Salary (USD),62000
Women — Instructor,Women,Instructor,2022,Average Salary (USD),69296
Women — Instructor,Women,Instructor,2023,Average Salary (USD),65854
Women — Instructor,Women,Instructor,2024,Average Salary (USD),67529
Women — Professor,Women,Professor,2013,Average Salary (USD),99760
Women — Professor,Women,Professor,2014,Average Salary (USD),104176
Women — Professor,Women,Professor,2015,Average Salary (USD),107253
Women — Professor,Women,Professor,2016,Average Salary (USD),106199
Women — Professor,Women,Professor,2017,Average Salary (USD),104176
Women — Professor,Women,Professor,2018,Average Salary (USD),104895
Women — Professor,Women,Professor,2019,Average Salary (USD),109760
Women — Professor,Women,Professor,2020,Average Salary (USD),113640
Women — Professor,Women,Professor,2021,Average Salary (USD),112599
Women — Professor,Women,Professor,2022,Average Salary (USD),119082
Women — Professor,Women,Professor,2023,Average Salary (USD),123202
Women — Professor,Women,Professor,2024,Average Salary (USD),127796
