Group_Combined,Group,Subgroup,Year,Metric,Value
"College of Liberal Arts & Social Sciences — Geography,Anthropology, & Tourism",College of Liberal Arts & Social Sciences,"Geography,Anthropology, & Tourism",2022,Full-Time Teaching Faculty (N),110
"College of Liberal Arts & Social Sciences — Geography,Anthropology, & Tourism",College of Liberal Arts & Social Sciences,"Geography,Anthropology, & Tourism",2023,Full-Time Teaching Faculty (N),12
"College of Liberal Arts & Social Sciences — Geography,Anthropology, & Tourism",College of Liberal Arts & Social Sciences,"Geography,Anthropology, & Tourism",2024,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — History,College of Liberal Arts & Social Sciences,History,2019,Full-Time Teaching Faculty (N),17
College of Liberal Arts & Social Sciences — History,College of Liberal Arts & Social Sciences,History,2020,Full-Time Teaching Faculty (N),16
College of Liberal Arts & Social Sciences — History,College of Liberal Arts & Social Sciences,History,2021,Full-Time Teaching Faculty (N),15
College of Liberal Arts & Social Sciences — History,College of Liberal Arts & Social Sciences,History,2022,Full-Time Teaching Faculty (N),13
College of Liberal Arts & Social Sciences — History,College of Liberal Arts & Social Sciences,History,2023,Full-Time Teaching Faculty (N),13
College of Liberal Arts & Social Sciences — History,College of Liberal Arts & Social Sciences,History,2024,Full-Time Teaching Faculty (N),13
College of Liberal Arts & Social Sciences — Journalism,College of Liberal Arts & Social Sciences,Journalism,2019,Full-Time Teaching Faculty (N),5
College of Liberal Arts & Social Sciences — Journalism,College of Liberal Arts & Social Sciences,Journalism,2020,Full-Time Teaching Faculty (N),5
College of Liberal Arts & Social Sciences — Journalism,College of Liberal Arts & Social Sciences,Journalism,2021,Full-Time Teaching Faculty (N),4
College of Liberal Arts & Social Sciences — Journalism,College of Liberal Arts & Social Sciences,Journalism,2022,Full-Time Teaching Faculty (N),4
College of Liberal Arts & Social Sciences — Journalism,College of Liberal Arts & Social Sciences,Journalism,2023,Full-Time Teaching Faculty (N),4
College of Liberal Arts & Social Sciences — Journalism,College of Liberal Arts & Social Sciences,Journalism,2024,Full-Time Teaching Faculty (N),5
College of Liberal Arts & Social Sciences — Music,College of Liberal Arts & Social Sciences,Music,2019,Full-Time Teaching Faculty (N),8
College of Liberal Arts & Social Sciences — Music,College of Liberal Arts & Social Sciences,Music,2020,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Music,College of Liberal Arts & Social Sciences,Music,2021,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Music,College of Liberal Arts & Social Sciences,Music,2022,Full-Time Teaching Faculty (N),6
College of Liberal Arts & Social Sciences — Music,College of Liberal Arts & Social Sciences,Music,2023,Full-Time Teaching Faculty (N),8
College of Liberal Arts & Social Sciences — Music,College of Liberal Arts & Social Sciences,Music,2024,Full-Time Teaching Faculty (N),6
College of Liberal Arts & Social Sciences — Philosophy,College of Liberal Arts & Social Sciences,Philosophy,2019,Full-Time Teaching Faculty (N),6
College of Liberal Arts & Social Sciences — Philosophy,College of Liberal Arts & Social Sciences,Philosophy,2020,Full-Time Teaching Faculty (N),6
College of Liberal Arts & Social Sciences — Philosophy,College of Liberal Arts & Social Sciences,Philosophy,2021,Full-Time Teaching Faculty (N),6
College of Liberal Arts & Social Sciences — Philosophy,College of Liberal Arts & Social Sciences,Philosophy,2022,Full-Time Teaching Faculty (N),5
College of Liberal Arts & Social Sciences — Philosophy,College of Liberal Arts & Social Sciences,Philosophy,2023,Full-Time Teaching Faculty (N),6
College of Liberal Arts & Social Sciences — Philosophy,College of Liberal Arts & Social Sciences,Philosophy,2024,Full-Time Teaching Faculty (N),5
