,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,Description,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,"In Spring 2025, the university enrolled 2,319 students overall, with women (W) outnumbering men (M). CLASS (College of Liberal Arts & Social Sciences) enrolled 703 students, SEST (School of Engineering, Science, & Technology) had 608, BS (School of Business) had 455, CHRS (College of Health & Rehabilitation Sciences) enrolled 293, and ED (School of Education) had 260. Degree codes include BA/BS (Bachelor of Arts/Science), MA/MS (Master of Arts/Science), MBA (Master of Business Administration), BGS (Bachelor of General Studies), ED.D (Doctor of Education), DNAP (Doctor of Nurse Anesthesia Practice), GRADCERT/OCP (Graduate or Post-BA Certificate), and SYC/PM CERT (Sixth Year/Post-Master’s Certificate).",,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,,Media Studies,,,Bachelors,,,,,,BA,,,,,,18099,,,090102,,,,,,14,,,6,,,20,,,,,,,,,,,,,,,
CLASS,,Music,,,Bachelors,,,,,,BA,,,,,,02608,,,500901,,,,,,4,,,1,,,5,,,,,,,,,,,,,,,
CLASS,,Music Education,,,Bachelors,,,,,,BS_Teach,,,,,,00062,,,131312,,,,,,,,,2,,,2,,,,,,,,,,,,,,,
CLASS,,Music Education,,,Master's,,,,,,MS,,,,,,00063,,,131312,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,
CLASS,,Music Education,,,Post-BA-Cert,,,,,,GRADCERT,,,,,,10174,,,131312,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,,,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,,Philosophy,,,Bachelors,,,,,,BA,,,,,,00088,,,380101,,,,,,1,,,3,,,4,,,,,,,,,,,,,,,
CLASS,,Political Science,,,Bachelors,,,,,,BA,,,,,,00109,,,451001,,,,,,16,,,13,,,29,,,,,,,,,,,,,,,
CLASS,,Psychological Science,,,Bachelors,,,,,,BA,,,,,,00098,,,420101,,,,,,19,,,104,,,123,,,,,,,,,,,,,,,
CLASS,,Psychology,,,Master's,,,,,,MA,,,,,,00099,,,420101,,,,,,2,,,12,,,14,,,,,,,,,,,,,,,
CLASS,,Public History,,,Master's,,,,,,MA,,,,,,09702,,,540105,,,,,,2,,,2,,,4,,,,,,,,,,,,,,,
CLASS,,Public Relations/Promotions,,,Post-BA-Cert,,,,,,OCP,,,,,,14632,,,090902,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,
CLASS,,Racial Justice,,,Cert-Below Bachelors,,,,,,C1,,,,,,20623,,,302301,,,,,,1,,,13,,,14,,,,,,,,,,,,,,,
CLASS,,Sociology,,,Bachelors,,,,,,BA,,,,,,00110,,,451101,,,,,,9,,,20,,,29,,,,,,,,,,,,,,,
CLASS,,Spanish,,,Bachelors,,,,,,BA,,,,,,00076,,,160905,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,
CLASS,,Spanish,,,Bachelors,,,,,,BS_Teach,,,,,,00076,,,160905,,,,,,2,,,,,,2,,,,,,,,,,,,,,,
CLASS,,Special Studies,,,Bachelors,,,,,,BA,,,,,,00087,,,309999,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
CLASS,,Strategic Communication,,,Bachelors,,,,,,BA,,,,,,18107,,,090900,,,,,,19,,,20,,,39,,,,,,,,,,,,,,,
CLASS,,Strategic Communication,,,Master's,,,,,,MS,,,,,,02522,,,090901,,,,,,6,,,6,,,12,,,,,,,,,,,,,,,
CLASS,,TESOL,,,Post-BA-Cert,,,,,,GRADCERT,,,,,,10609,,,131401,,,,,,,,,2,,,2,,,,,,,,,,,,,,,
CLASS,,TESOL,,,Post-BA-Cert,,,,,,OCP,,,,,,15703,,,131401,,,,,,,,,3,,,3,,,,,,,,,,,,,,,
CLASS,,Theatre,,,Bachelors,,,,,,BA,,,,,,00111,,,500501,,,,,,3,,,,,,3,,,,,,,,,,,,,,,
CLASS,,Theatre,,,Bachelors,,,,,,BFA,,,,,,00111,,,500501,,,,,,4,,,4,,,8,,,,,,,,,,,,,,,
CLASS,,Tourism & Hospitality Studies,,,Bachelors,,,,,,BS,,,,,,04091,,,520901,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,
CLASS,,World Languages,,,Master's,,,,,,MA,,,,,,00074,,,160101,,,,,,2,,,5,,,7,,,,,,,,,,,,,,,
CLASS,,Total,,,Total,,,,,,Total,,,,,,Total,,,Total,,,,,,267,,,436,,,703,,,,,,,,,,,,,,,
BS,,Accounting,,,Bachelors,,,,,,BS,,,,,,00036,,,520301,,,,,,41,,,19,,,60,,,,,,,,,,,,,,,
BS,,Accounting,,,Master's,,,,,,MS,,,,,,18549,,,520301,,,,,,21,,,12,,,33,,,,,,,,,,,,,,,
BS,,Accounting Analytics,,,Post-BA-Cert,,,,,,OCP,,,,,,20602,,,307199,,,,,,3,,,3,,,6,,,,,,,,,,,,,,,
BS,,Business,,,Bachelors,,,,,,BS,,,,,,21384,,,520101,,,,,,4,,,2,,,6,,,,,,,,,,,,,,,
BS,,Business Administration (MBA),,,Master's,,,,,,MBA,,,,,,02816,,,520305,,,,,,36,,,38,,,74,,,,,,,,,,,,,,,
