,,,,,,Year,2020-21,2021-22,2022-23,2023-24,2024-25,,,Description,,,,,,,,,,,,,,,,
CLASS,Geography,Global Sustainability,Master's,MS,00106,450701,2,3,1,1,2,,,,,,,,,,,,,,,,,,,
CLASS,Geography,Tourism,Bachelors,BA,00105,450701,,1,,,1,,,,,,,,,,,,,,,,,,,
CLASS,Geography,Total,Total,Total,Total,Total,16,15,14,13,10,,,,,,,,,,,,,,,,,,,
CLASS,Gerontology,,Cert-Below Bachelors,C1,20603,190702,,,,1,4,,,,,,,,,,,,,,,,,,,
CLASS,Gerontology,,Post-BA-Cert,OCP,18714,190702,4,3,1,,,,,,,,,,,,,,,,,,,,,
CLASS,Gerontology,Total,Total,Total,Total,Total,4,3,1,1,4,,,,,,,,,,,,,,,,,,,
CLASS,Graphic/Information Design,,Bachelors,BA,07020,500401,32,26,42,40,36,,,,,,,,,,,,,,,,,,,
CLASS,Graphic/Information Design,Total,Total,Total,Total,Total,32,26,42,40,36,,,,,,,,,,,,,,,,,,,
CLASS,History,,Bachelors,BA,00107,540101,28,23,35,31,21,,,,,,,,,,,,,,,,,,,
CLASS,History,,Bachelors,BS_Teach,00107,540101,17,8,7,4,17,,,,,,,,,,,,,,,,,,,
CLASS,History,,Master's,MA,00108,540101,4,6,4,3,2,,,,,,,,,,,,,,,,,,,
CLASS,History,,Post-BA-Cert,GRADCERT,10172,540101,2,,,,2,,,,,,,,,,,,,,,,,,,
CLASS,History,Total,Total,Total,Total,Total,51,37,46,38,42,,,,,,,,,,,,,,,,,,,
CLASS,Information Design,,Master's,MA,06297,500401,2,8,6,5,2,,,,,,,,,,,,,,,,,,,
CLASS,Information Design,Total,Total,Total,Total,Total,2,8,6,5,2,,,,,,,,,,,,,,,,,,,
CLASS,International Studies,,Bachelors,BA,02693,302001,1,,,,,,,,,,,,,,,,,,,,,,,
CLASS,International Studies,,Master's,MS,00035,302001,1,3,6,3,7,,,,,,,,,,,,,,,,,,,
CLASS,International Studies,African Studies,Bachelors,BA,02693,302001,1,,1,,,,,,,,,,,,,,,,,,,,,
CLASS,International Studies,East Asian Studies,Bachelors,BA,02693,302001,3,4,5,2,2,,,,,,,,,,,,,,,,,,,
